id,song,artist,week,valence,track_id,lyrics
46,Чути гімн,SKOFKA,2023-01-06,0.422,4Yzlz45QgjUKZmN2KrK4AP,
47,Там у тополі,"Artem Pivovarov, NK",2023-01-06,0.655,4TP5hCUeQ6QwYzPkTfxG6G,
48,Щоб не було,DOROFEEVA,2023-01-06,0.381,7krNeHssTmY3ijTox4OBbD,
49,ЗА ДЕНЬГИ ДА,INSTASAMKA,2023-01-06,0.314,4PGzoH4hL1vORGOTxHdWjB,
50,Stefania (Kalush Orchestra),"KALUSH, Kalush Orchestra",2023-01-06,0.324,2vHzOWRKYPLu8umRPIFuOq,
51,Гарно так,CHEEV,2023-01-06,0.798,3yRDM5tBS7H8HG64y3x9kw,
52,Монро,Slavik Pogosov,2023-01-06,0.118,5sQpS3fyw6VBpPioNlrCn1,
53,Батьківщина,"SKOFKA, KALUSH",2023-01-06,0.502,33s2G0h9EOdyaKlKr15ngE,
54,Рандеву,Artem Pivovarov,2023-01-06,0.684,3R02XSW0lDknR5ZVFiTVrc,
55,High Come Down,Chico & Coolwadda,2023-01-06,0.667,4gc19xZ8SvONdW6ZVHlYSO,
56,Вишнi,Wellboy,2023-01-06,0.635,1xHs6PLjlvqihewyitoP3A,
57,Біля серця,KOLA,2023-01-06,0.598,20SSuP71R4A88qHQu4BKY6,
58,Вечорниці - Добрий день Everybody,"100лиця, SKYLERR",2023-01-06,0.336,64Qnw6jO2dnkjV9una5peq,
59,Додому,Wellboy,2023-01-06,0.219,6gtK39SLszESqJFu2SkId3,
60,Чекає вдома (feat. DOVI),"YAKTAK, DOVI",2023-01-06,0.702,5F9CLUvuRyku0ZdT4ljPQt,
61,"Ти щаслива будеш - Гай, зелений гай",Dima PROKOPOV,2023-01-06,0.492,2TTuBKeQWoukafWDPufIlq,
62,Bloody Mary,Lady Gaga,2023-01-06,0.432,11BKm0j4eYoCPPpCONAVwA,
63,Voin,"YARMAK, TARABAROVA",2023-01-06,0.358,6mxPj26zVw51cqeRxxNOed,
64,Який ти козак,"Анна Трінчер, POSITIFF",2023-01-06,0.463,56jFeULddnrAOxtlLmTCFC,
65,Ой на горі,Artem Pivovarov,2023-01-06,0.469,1kTtW9kzGGxbQISdhe8pzG,
66,Ванька-Встанька,Маша Кондратенко,2023-01-06,0.62,00ZFbk7oYrtx8nup5y58BO,
67,Won't Forget You (Edit),Shouse,2023-01-06,0.555,3I10tZ5MgEMo4WryCNJkZQ,
68,"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,2023-01-06,0.468,05eZlxyjbkHMPCnunUasCS,
69,MIDDLE OF THE NIGHT,Elley Duhé,2023-01-06,0.0899,58HvfVOeJY7lUuCqF0m3ly,
70,In The Shadows Of Ukraine (feat. The Rasmus),"KALUSH, Kalush Orchestra, The Rasmus",2023-01-06,0.758,5dSOtyf70O6fG1xm4xFeTD,
71,Shot a friend,Holy Molly,2023-01-06,0.463,27yUNsQo2CPPokNw69M23X,
72,Not About Us - Byjoelmichael Remix,"Alis Shuka, Byjoelmichael",2023-01-06,0.348,4iwY29UTTw5N9ZGtMsAqCF,
73,Hypnotized,"Purple Disco Machine, Sophie and the Giants",2023-01-06,0.707,7HxWZggiHyGWT9ZSmWzcxu,
74,Кришталь,NK,2023-01-06,0.609,1ixJTPRUzQfa7a1wwhLs9B,
75,МОЯ КРАЇНА,"YARMAK, Tof",2023-01-06,0.395,3ND8vamqbTuI1QDhoP6ekH,
76,Враже (енджі крейда cover),Damidas,2023-01-06,0.12,0ekzVQWGaD6oHBINV8JY5h,
77,По барам,ANNA ASTI,2023-01-06,0.428,4zOLAk87gHl97sbqmntbJG,
78,Незламна,ЛЮСЯ КАВА,2023-01-06,0.276,3uFBrdXhDkmuN6xxUgS9rs,
79,Не забудем і не пробачим,SKOFKA,2023-01-06,0.543,6KvQKU21c1ZGEoOajKfim0,
80,Зай - Shnaps Remix,"Анна Трінчер, Shnaps",2023-01-06,0.678,04M7w39gAe2CUkf9AXJKCZ,
81,КАК MOMMY,INSTASAMKA,2023-01-06,0.386,0R848ny5sEpVuR1tMXZNFr,
82,"Там, де",Ivan NAVI,2023-01-06,0.814,3mYqEtddAhUoLHkPLdARQn,
83,Силуети,"SadSvit, СТРУКТУРА ЩАСТЯ",2023-01-06,0.387,61BaxM1NIcadLu3gtWm2uT,
84,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2023-01-06,0.238,3nqQXoyQOWXiESFLlDF1hG,
85,As It Was,Harry Styles,2023-01-06,0.662,4Dvkj6JhhA12EX05fT7y2e,
86,Враже (енджі крейда cover),Damidas,2023-01-06,0.12,0ekzVQWGaD6oHBINV8JY5h,
87,Сіґеле-міґеле,NAZVA,2023-01-06,0.118,6Xa97kTbaQKlf0KMTY2qGJ,
88,Моя Украïна,"TamerlanAlena, Andi Vax",2023-01-06,0.442,5vmTyrE2mSg9wvAFNLRaOr,
89,Воїни світла,Lyapis Trubetskoy,2023-01-06,0.403,64hFcUEAhSODWUm4ZtqEaH,
90,MMM,Minelli,2023-01-06,0.661,2wtjKTnfYimgKi9cPxPBPV,
91,Alugalug Cat (Symphonic Mashup),The Kiffness,2023-01-06,0.519,4V9kve9oiv2k4zyY0JEwqP,
92,Пробач,YAKTAK,2023-01-06,0.134,5pN1b9d11LxVNg24kIvyiE,
93,Мрієшся,CHEEV,2023-01-06,0.326,6BGf2maOpSS5aznYkv9BfR,
94,Стиль,Wellboy,2023-01-06,0.836,6JQ35ZJlMD79PcTKGzuABl,
95,METAMORPHOSIS - Sped Up,INTERWORLD,2023-01-06,0.136,6MlIIJwO4FxnOlrpOrS4hU,
96,Коли закінчиться війна,Юлія Думанська,2023-01-06,0.42,7AoqkFb8XszXNoXtODKAwO,
97,Доброго вечора - Where Are You From,PROBASS ∆ HARDI,2023-01-06,0.406,0O3TZYgwaRadNprRONZ7iX,
98,Кружит,MONATIK,2023-01-06,0.694,2MvXw1lGFDRasfQviQptIh,
99,Марічка,Patsyki Z Franeka,2023-01-06,0.466,2WoksKIDPQ8o90cqDbgE7L,
100,Ты так красива,Quest Pistols,2023-01-06,0.785,73O5XIJJGhN7oFqkhffMi1,
101,Моя країна,Arsen Mirzoyan,2023-01-06,0.513,1MBiKjChdXChGDwxJxm9ib,
102,Пес Патрон,Karta Svitu,2023-01-06,0.947,1D3rciTrWK2SgwjQrGZntM,
103,Живи,YULIYA ROZNEN,2023-01-06,0.255,4gAftAo7JKij3ubl7iLQEZ,
104,Ворогів на ножі,Wellboy,2023-01-06,0.622,38sNsooZ7WRWAZkQnpHZcG,
105,Пишу тобі листа - Rap Edition,"Ivan NAVI, ХАС",2023-01-06,0.422,48xn7zMEnr2goU2WX0Njn3,
106,Квіти мінних зон,Okean Elzy,2023-01-06,0.427,6RSoNbRPI3DY0NICU0xL8L,
107,Цей сон - Radio Edit,"Леся Нікітюк, Степан Гіга",2023-01-06,0.627,3T5Fm5kBmenqaVCCwc2Cov,
108,Полярная звездa - Filatov & Karas Remix,"MOSOVICH, Batrai, Filatov & Karas",2023-01-06,0.907,46CPY2i0y8Edo9ljHwAjNQ,
109,"Колядуй, Україно!","Роман Скорпіон, Yuriana",2023-01-06,0.963,5la5HUcbsqQvy5Cy9U8ze7,
110,Моя хулиганка,Xolidayboy,2023-01-06,0.374,5waJ2AZCEWt9mJPFBwvZp2,
111,Окупанту,MBreeze,2023-01-06,0.968,09NXCjWIBMQDQLOv6AMyDN,
112,Another Love,Tom Odell,2023-01-06,0.131,3JvKfv6T31zO0ini8iNItO,
113,Heart of Steel,TVORCHI,2023-01-06,0.338,155yInH5aDNEI1MkcX6NNk,
114,Чи разом?,KOLA,2023-01-06,0.228,1DgLyjvwcodlM0KbaffvHc,
115,Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",2023-01-06,0.502,3sa06xVNmLLYIxdNNmVQN8,
116,All I Want for Christmas Is You,Mariah Carey,2023-01-06,0.64,7iKRL1F3m4t4dkMponnD0P,
117,Маніфест,Artem Pivovarov,2023-01-06,0.422,0pWMr82unREASQGFJrrI5S,
118,Чорне і біле,ZOZULYA,2023-01-06,0.139,7inT18SoRHT6PEE0F9J8Xs,
119,Гуляли,KOZAK SIROMAHA,2023-01-06,0.675,6xnczQ0seXKiu4sPnYEyui,
120,Добрий день Everybody,"Мюслі UA, VASIA CHARISMA",2023-01-06,0.572,7xIlDDAM1RpASn4o16S2F3,
121,The Motto - Robert Georgescu & White Remix,"Tiësto, Ava Max, Robert Georgescu & White",2023-01-06,0.828,6jiiZursE0NfrjmThWe8f6,
122,SHUM,Go_A,2023-01-06,0.503,29bhnde7Gvnp7rvY9zsq5S,
123,"Хай Ісус, мале дитя",Iryna Fedyshyn,2023-01-06,0.96,7zBJnR6VmOWi5KqSC3YSKH,
124,В дорогу,SKOFKA,2023-01-06,0.605,5kbgubYr6PK4NRy1bfAVdH,
125,Україна колядує,Iryna Fedyshyn,2023-01-06,0.89,6vtR8t2zsYjY9nTwYE6j1X,
126,SPIT IN MY FACE!,ThxSoMch,2023-01-06,0.649,1N8TTK1Uoy7UvQNUazfUt5,
127,My Only Wish (This Year),Britney Spears,2023-01-06,0.702,0YWUHZPJVg4iujddsJDwhM,
128,Я Солдат - 2022 UA Version – Sobi Remix,"Serhii Babkin, Sobi",2023-01-06,0.314,3bPxgtekvuyDAOqzTUXCOL,
129,Mockingbird,Eminem,2023-01-06,0.254,561jH07mF1jHuk7KlaeF0s,
130,Свята Джавеліна,TaRuta,2023-01-06,0.967,3QhPhr3hTKp8e07xKpulWz,
131,БАТЬКО НАШ БАНДЕРА,"GLOVA, MANIN, GOVORUN",2023-01-06,0.788,7eLDFivWlXy3iA1iVVVSts,
132,2step (feat. Antytila),"Ed Sheeran, Antytila",2023-01-06,0.599,0EgNmGWjnYm3FMyaOW5xsM,
133,Чарівні очі,Olya Polyakova,2023-01-06,0.684,6zrQ9NL6I75I4SA0ADYLyY,
134,У мене немає дому,Odyn v Kanoe,2023-01-06,0.423,4GC6tlXcAsyp4pNrlyo1pb,
135,рускій давай біжи швидше,"Bakun, VARASH",2023-01-06,0.187,01UoJfWOWh29VZZFwb8Lt5,
136,Rampampam,Minelli,2023-01-06,0.437,1esZgaqm0YKN87CIP3orJ3,
137,As It Was,Harry Styles,2023-01-06,0.662,4Dvkj6JhhA12EX05fT7y2e,
138,Плакала Калина - Shnaps Remix,"POLINA DASHKOVA, Shnaps",2023-01-06,0.429,7LpHw8Kojwnca4GdcD1Xxq,
139,Українська лють - Bella Ciao Cover,Khrystyna Soloviy,2023-01-06,0.897,7ymubBfbELCd9Zwt1oOztV,
140,Чути гімн,SKOFKA,2023-01-13,0.422,4Yzlz45QgjUKZmN2KrK4AP,
141,Там у тополі,"Artem Pivovarov, NK",2023-01-13,0.655,4TP5hCUeQ6QwYzPkTfxG6G,
142,Щоб не було,DOROFEEVA,2023-01-13,0.381,7krNeHssTmY3ijTox4OBbD,
143,Flowers,Miley Cyrus,2023-01-13,0.632,7DSAEUvxU8FajXtRloy8M0,
144,Stefania (Kalush Orchestra),"KALUSH, Kalush Orchestra",2023-01-13,0.324,2vHzOWRKYPLu8umRPIFuOq,
145,Гарно так,CHEEV,2023-01-13,0.798,3yRDM5tBS7H8HG64y3x9kw,
146,ЗА ДЕНЬГИ ДА,INSTASAMKA,2023-01-13,0.314,4PGzoH4hL1vORGOTxHdWjB,
147,Батьківщина,"SKOFKA, KALUSH",2023-01-13,0.502,33s2G0h9EOdyaKlKr15ngE,
148,Біля серця,KOLA,2023-01-13,0.598,20SSuP71R4A88qHQu4BKY6,
149,Рандеву,Artem Pivovarov,2023-01-13,0.684,3R02XSW0lDknR5ZVFiTVrc,
150,Вишнi,Wellboy,2023-01-13,0.635,1xHs6PLjlvqihewyitoP3A,
151,High Come Down,Chico & Coolwadda,2023-01-13,0.667,4gc19xZ8SvONdW6ZVHlYSO,
152,Чекає вдома (feat. DOVI),"YAKTAK, DOVI",2023-01-13,0.702,5F9CLUvuRyku0ZdT4ljPQt,
153,Монро,Slavik Pogosov,2023-01-13,0.118,5sQpS3fyw6VBpPioNlrCn1,
154,Додому,Wellboy,2023-01-13,0.219,6gtK39SLszESqJFu2SkId3,
155,Вечорниці - Добрий день Everybody,"100лиця, SKYLERR",2023-01-13,0.336,64Qnw6jO2dnkjV9una5peq,
156,Won't Forget You (Edit),Shouse,2023-01-13,0.555,3I10tZ5MgEMo4WryCNJkZQ,
157,Not About Us - Byjoelmichael Remix,"Alis Shuka, Byjoelmichael",2023-01-13,0.348,4iwY29UTTw5N9ZGtMsAqCF,
158,MIDDLE OF THE NIGHT,Elley Duhé,2023-01-13,0.0899,58HvfVOeJY7lUuCqF0m3ly,
159,"Ти щаслива будеш - Гай, зелений гай",Dima PROKOPOV,2023-01-13,0.492,2TTuBKeQWoukafWDPufIlq,
160,Який ти козак,"Анна Трінчер, POSITIFF",2023-01-13,0.463,56jFeULddnrAOxtlLmTCFC,
161,"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,2023-01-13,0.468,05eZlxyjbkHMPCnunUasCS,
162,Shot a friend,Holy Molly,2023-01-13,0.463,27yUNsQo2CPPokNw69M23X,
163,Ой на горі,Artem Pivovarov,2023-01-13,0.469,1kTtW9kzGGxbQISdhe8pzG,
164,Сіґеле-міґеле,NAZVA,2023-01-13,0.118,6Xa97kTbaQKlf0KMTY2qGJ,
165,Враже (енджі крейда cover),Damidas,2023-01-13,0.12,0ekzVQWGaD6oHBINV8JY5h,
166,Voin,"YARMAK, TARABAROVA",2023-01-13,0.358,6mxPj26zVw51cqeRxxNOed,
167,Зай - Shnaps Remix,"Анна Трінчер, Shnaps",2023-01-13,0.678,04M7w39gAe2CUkf9AXJKCZ,
168,In The Shadows Of Ukraine (feat. The Rasmus),"KALUSH, Kalush Orchestra, The Rasmus",2023-01-13,0.758,5dSOtyf70O6fG1xm4xFeTD,
169,Ванька-Встанька,Маша Кондратенко,2023-01-13,0.62,00ZFbk7oYrtx8nup5y58BO,
170,Hypnotized,"Purple Disco Machine, Sophie and the Giants",2023-01-13,0.707,7HxWZggiHyGWT9ZSmWzcxu,
171,Добрий день Everybody,"Мюслі UA, VASIA CHARISMA",2023-01-13,0.572,7xIlDDAM1RpASn4o16S2F3,
172,Маніфест,Artem Pivovarov,2023-01-13,0.422,0pWMr82unREASQGFJrrI5S,
173,МОЯ КРАЇНА,"YARMAK, Tof",2023-01-13,0.395,3ND8vamqbTuI1QDhoP6ekH,
174,Не забудем і не пробачим,SKOFKA,2023-01-13,0.543,6KvQKU21c1ZGEoOajKfim0,
175,Bloody Mary,Lady Gaga,2023-01-13,0.432,11BKm0j4eYoCPPpCONAVwA,
176,У мене немає дому,Odyn v Kanoe,2023-01-13,0.423,4GC6tlXcAsyp4pNrlyo1pb,
177,Незламна,ЛЮСЯ КАВА,2023-01-13,0.276,3uFBrdXhDkmuN6xxUgS9rs,
178,Враже (енджі крейда cover),Damidas,2023-01-13,0.12,0ekzVQWGaD6oHBINV8JY5h,
179,Силуети,"SadSvit, СТРУКТУРА ЩАСТЯ",2023-01-13,0.387,61BaxM1NIcadLu3gtWm2uT,
180,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2023-01-13,0.238,3nqQXoyQOWXiESFLlDF1hG,
181,"Там, де",Ivan NAVI,2023-01-13,0.814,3mYqEtddAhUoLHkPLdARQn,
182,MMM,Minelli,2023-01-13,0.661,2wtjKTnfYimgKi9cPxPBPV,
183,КАК MOMMY,INSTASAMKA,2023-01-13,0.386,0R848ny5sEpVuR1tMXZNFr,
184,As It Was,Harry Styles,2023-01-13,0.662,4Dvkj6JhhA12EX05fT7y2e,
185,Пробач,YAKTAK,2023-01-13,0.134,5pN1b9d11LxVNg24kIvyiE,
186,По барам,ANNA ASTI,2023-01-13,0.428,4zOLAk87gHl97sbqmntbJG,
187,Воїни світла,Lyapis Trubetskoy,2023-01-13,0.403,64hFcUEAhSODWUm4ZtqEaH,
188,Моя країна,Arsen Mirzoyan,2023-01-13,0.513,1MBiKjChdXChGDwxJxm9ib,
189,Цей сон - Radio Edit,"Леся Нікітюк, Степан Гіга",2023-01-13,0.627,3T5Fm5kBmenqaVCCwc2Cov,
190,Ты так красива,Quest Pistols,2023-01-13,0.785,73O5XIJJGhN7oFqkhffMi1,
191,Марічка,Patsyki Z Franeka,2023-01-13,0.466,2WoksKIDPQ8o90cqDbgE7L,
192,METAMORPHOSIS - Sped Up,INTERWORLD,2023-01-13,0.136,6MlIIJwO4FxnOlrpOrS4hU,
193,Alugalug Cat (Symphonic Mashup),The Kiffness,2023-01-13,0.519,4V9kve9oiv2k4zyY0JEwqP,
194,Мрієшся,CHEEV,2023-01-13,0.326,6BGf2maOpSS5aznYkv9BfR,
195,Пес Патрон,Karta Svitu,2023-01-13,0.947,1D3rciTrWK2SgwjQrGZntM,
196,Пишу тобі листа - Rap Edition,"Ivan NAVI, ХАС",2023-01-13,0.422,48xn7zMEnr2goU2WX0Njn3,
197,Кришталь,NK,2023-01-13,0.609,1ixJTPRUzQfa7a1wwhLs9B,
198,The Motto - Robert Georgescu & White Remix,"Tiësto, Ava Max, Robert Georgescu & White",2023-01-13,0.828,6jiiZursE0NfrjmThWe8f6,
199,Доброго вечора - Where Are You From,PROBASS ∆ HARDI,2023-01-13,0.406,0O3TZYgwaRadNprRONZ7iX,
200,Стиль,Wellboy,2023-01-13,0.836,6JQ35ZJlMD79PcTKGzuABl,
201,Моя Украïна,"TamerlanAlena, Andi Vax",2023-01-13,0.442,5vmTyrE2mSg9wvAFNLRaOr,
202,Гуляли,KOZAK SIROMAHA,2023-01-13,0.675,6xnczQ0seXKiu4sPnYEyui,
203,Чи разом?,KOLA,2023-01-13,0.228,1DgLyjvwcodlM0KbaffvHc,
204,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",2023-01-13,0.942,6zSpb8dQRaw0M1dK8PBwQz,
205,Я Солдат - 2022 UA Version – Sobi Remix,"Serhii Babkin, Sobi",2023-01-13,0.314,3bPxgtekvuyDAOqzTUXCOL,
206,SHUM,Go_A,2023-01-13,0.503,29bhnde7Gvnp7rvY9zsq5S,
207,Українська лють - Bella Ciao Cover,Khrystyna Soloviy,2023-01-13,0.897,7ymubBfbELCd9Zwt1oOztV,
208,Окупанту,MBreeze,2023-01-13,0.968,09NXCjWIBMQDQLOv6AMyDN,
209,КОЗАЦЬКОМУ_РОДУ,Jerry Heil,2023-01-13,0.254,6NePBUCeIGqfnIQag5crC0,
210,Кружит,MONATIK,2023-01-13,0.694,2MvXw1lGFDRasfQviQptIh,
211,Чорне і біле,ZOZULYA,2023-01-13,0.139,7inT18SoRHT6PEE0F9J8Xs,
212,Живи,YULIYA ROZNEN,2023-01-13,0.255,4gAftAo7JKij3ubl7iLQEZ,
213,Моя хулиганка,Xolidayboy,2023-01-13,0.374,5waJ2AZCEWt9mJPFBwvZp2,
214,2step (feat. Antytila),"Ed Sheeran, Antytila",2023-01-13,0.599,0EgNmGWjnYm3FMyaOW5xsM,
215,Mockingbird,Eminem,2023-01-13,0.254,561jH07mF1jHuk7KlaeF0s,
216,Квіти мінних зон,Okean Elzy,2023-01-13,0.427,6RSoNbRPI3DY0NICU0xL8L,
217,Полярная звездa - Filatov & Karas Remix,"MOSOVICH, Batrai, Filatov & Karas",2023-01-13,0.907,46CPY2i0y8Edo9ljHwAjNQ,
218,В дорогу,SKOFKA,2023-01-13,0.605,5kbgubYr6PK4NRy1bfAVdH,
219,Take You Dancing,Jason Derulo,2023-01-13,0.753,59qrUpoplZxbIZxk6X0Bm3,
220,"Дивись, куди ідеш",ТНМК,2023-01-13,0.484,77fqjrFLfJY45lwlehpYcw,
221,"Хто, як не ти?",Khrystyna Soloviy,2023-01-13,0.351,1Re4DWmjTSYymDL3SpRE7c,
222,Плакала Калина - Shnaps Remix,"POLINA DASHKOVA, Shnaps",2023-01-13,0.429,7LpHw8Kojwnca4GdcD1Xxq,
223,Heart of Steel,TVORCHI,2023-01-13,0.338,155yInH5aDNEI1MkcX6NNk,
224,"Добрий ранок, Україно",Нумер 482,2023-01-13,0.579,5YZNLIF1saO6y3T8FaQoom,
225,Дельфіни,"Мята, ХАС",2023-01-13,0.774,7KE6zTJkUlvy3aV1q4zDtf,
226,Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",2023-01-13,0.502,3sa06xVNmLLYIxdNNmVQN8,
227,Невідомий Герой,PTASHKIN,2023-01-13,0.562,0fDfRB7OwD9HU6eXiqY7fY,
228,abcdefu,GAYLE,2023-01-13,0.415,4fouWK6XVHhzl78KzQ1UjL,
229,Свята Джавеліна,TaRuta,2023-01-13,0.967,3QhPhr3hTKp8e07xKpulWz,
230,A Million on My Soul,Alexiane,2023-01-13,0.482,4sqt86PZhalXEu86oInkND,
231,Tdme,Antytila,2023-01-13,0.598,2Pa6q36FP2oAM5q1hFjVSG,
232,My Way,Cassette,2023-01-13,0.438,2iF4dO8fdzKQERSCUJ0TD7,
233,It Don’t Matter - Ekanta Jake Remix,"Alok, Sofi Tukker, INNA, Ekanta Jake",2023-01-13,0.231,2no39Ou4H4EIFhm2h2rIJT,
234,Flowers,Miley Cyrus,2023-01-20,0.632,7DSAEUvxU8FajXtRloy8M0,
235,Чути гімн,SKOFKA,2023-01-20,0.422,4Yzlz45QgjUKZmN2KrK4AP,
236,Там у тополі,"Artem Pivovarov, NK",2023-01-20,0.655,4TP5hCUeQ6QwYzPkTfxG6G,
237,Щоб не було,DOROFEEVA,2023-01-20,0.381,7krNeHssTmY3ijTox4OBbD,
238,Гарно так,CHEEV,2023-01-20,0.798,3yRDM5tBS7H8HG64y3x9kw,
239,Stefania (Kalush Orchestra),"KALUSH, Kalush Orchestra",2023-01-20,0.324,2vHzOWRKYPLu8umRPIFuOq,
240,Біля серця,KOLA,2023-01-20,0.598,20SSuP71R4A88qHQu4BKY6,
241,Додому,Wellboy,2023-01-20,0.219,6gtK39SLszESqJFu2SkId3,
242,Батьківщина,"SKOFKA, KALUSH",2023-01-20,0.502,33s2G0h9EOdyaKlKr15ngE,
243,ЗА ДЕНЬГИ ДА,INSTASAMKA,2023-01-20,0.314,4PGzoH4hL1vORGOTxHdWjB,
244,High Come Down,Chico & Coolwadda,2023-01-20,0.667,4gc19xZ8SvONdW6ZVHlYSO,
245,Вишнi,Wellboy,2023-01-20,0.635,1xHs6PLjlvqihewyitoP3A,
246,Рандеву,Artem Pivovarov,2023-01-20,0.684,3R02XSW0lDknR5ZVFiTVrc,
247,Чекає вдома (feat. DOVI),"YAKTAK, DOVI",2023-01-20,0.702,5F9CLUvuRyku0ZdT4ljPQt,
248,Вечорниці - Добрий день Everybody,"100лиця, SKYLERR",2023-01-20,0.336,64Qnw6jO2dnkjV9una5peq,
249,Монро,Slavik Pogosov,2023-01-20,0.118,5sQpS3fyw6VBpPioNlrCn1,
250,Який ти козак,"Анна Трінчер, POSITIFF",2023-01-20,0.463,56jFeULddnrAOxtlLmTCFC,
251,Shot a friend,Holy Molly,2023-01-20,0.463,27yUNsQo2CPPokNw69M23X,
252,Not About Us - Byjoelmichael Remix,"Alis Shuka, Byjoelmichael",2023-01-20,0.348,4iwY29UTTw5N9ZGtMsAqCF,
253,MIDDLE OF THE NIGHT,Elley Duhé,2023-01-20,0.0899,58HvfVOeJY7lUuCqF0m3ly,
254,Won't Forget You (Edit),Shouse,2023-01-20,0.555,3I10tZ5MgEMo4WryCNJkZQ,
255,"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,2023-01-20,0.468,05eZlxyjbkHMPCnunUasCS,
256,Маніфест,Artem Pivovarov,2023-01-20,0.422,0pWMr82unREASQGFJrrI5S,
257,"Ти щаслива будеш - Гай, зелений гай",Dima PROKOPOV,2023-01-20,0.492,2TTuBKeQWoukafWDPufIlq,
258,Зай - Shnaps Remix,"Анна Трінчер, Shnaps",2023-01-20,0.678,04M7w39gAe2CUkf9AXJKCZ,
259,Добрий день Everybody,"Мюслі UA, VASIA CHARISMA",2023-01-20,0.572,7xIlDDAM1RpASn4o16S2F3,
260,Ой на горі,Artem Pivovarov,2023-01-20,0.469,1kTtW9kzGGxbQISdhe8pzG,
261,Voin,"YARMAK, TARABAROVA",2023-01-20,0.358,6mxPj26zVw51cqeRxxNOed,
262,МОЯ КРАЇНА,"YARMAK, Tof",2023-01-20,0.395,3ND8vamqbTuI1QDhoP6ekH,
263,Hypnotized,"Purple Disco Machine, Sophie and the Giants",2023-01-20,0.707,7HxWZggiHyGWT9ZSmWzcxu,
264,Незламна,ЛЮСЯ КАВА,2023-01-20,0.276,3uFBrdXhDkmuN6xxUgS9rs,
265,Ванька-Встанька,Маша Кондратенко,2023-01-20,0.62,00ZFbk7oYrtx8nup5y58BO,
266,Враже (енджі крейда cover),Damidas,2023-01-20,0.12,0ekzVQWGaD6oHBINV8JY5h,
267,In The Shadows Of Ukraine (feat. The Rasmus),"KALUSH, Kalush Orchestra, The Rasmus",2023-01-20,0.758,5dSOtyf70O6fG1xm4xFeTD,
268,Враже (енджі крейда cover),Damidas,2023-01-20,0.12,0ekzVQWGaD6oHBINV8JY5h,
269,"Там, де",Ivan NAVI,2023-01-20,0.814,3mYqEtddAhUoLHkPLdARQn,
270,Сіґеле-міґеле,NAZVA,2023-01-20,0.118,6Xa97kTbaQKlf0KMTY2qGJ,
271,Пробач,YAKTAK,2023-01-20,0.134,5pN1b9d11LxVNg24kIvyiE,
272,Не забудем і не пробачим,SKOFKA,2023-01-20,0.543,6KvQKU21c1ZGEoOajKfim0,
273,Alugalug Cat (Symphonic Mashup),The Kiffness,2023-01-20,0.519,4V9kve9oiv2k4zyY0JEwqP,
274,Кришталь,NK,2023-01-20,0.609,1ixJTPRUzQfa7a1wwhLs9B,
275,As It Was,Harry Styles,2023-01-20,0.662,4Dvkj6JhhA12EX05fT7y2e,
276,MMM,Minelli,2023-01-20,0.661,2wtjKTnfYimgKi9cPxPBPV,
277,Пес Патрон,Karta Svitu,2023-01-20,0.947,1D3rciTrWK2SgwjQrGZntM,
278,Гуляли,KOZAK SIROMAHA,2023-01-20,0.675,6xnczQ0seXKiu4sPnYEyui,
279,По барам,ANNA ASTI,2023-01-20,0.428,4zOLAk87gHl97sbqmntbJG,
280,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2023-01-20,0.238,3nqQXoyQOWXiESFLlDF1hG,
281,Марічка,Patsyki Z Franeka,2023-01-20,0.466,2WoksKIDPQ8o90cqDbgE7L,
282,Бахмут,Spiv Brativ,2023-01-20,0.524,1w8Dgp27eGiKu51jZHFSsZ,
283,Воїни світла,Lyapis Trubetskoy,2023-01-20,0.403,64hFcUEAhSODWUm4ZtqEaH,
284,Цей сон - Radio Edit,"Леся Нікітюк, Степан Гіга",2023-01-20,0.627,3T5Fm5kBmenqaVCCwc2Cov,
285,Доброго вечора - Where Are You From,PROBASS ∆ HARDI,2023-01-20,0.406,0O3TZYgwaRadNprRONZ7iX,
286,Мрієшся,CHEEV,2023-01-20,0.326,6BGf2maOpSS5aznYkv9BfR,
287,Bloody Mary,Lady Gaga,2023-01-20,0.432,11BKm0j4eYoCPPpCONAVwA,
288,Живи,YULIYA ROZNEN,2023-01-20,0.255,4gAftAo7JKij3ubl7iLQEZ,
289,Моя Украïна,"TamerlanAlena, Andi Vax",2023-01-20,0.442,5vmTyrE2mSg9wvAFNLRaOr,
290,Моя країна,Arsen Mirzoyan,2023-01-20,0.513,1MBiKjChdXChGDwxJxm9ib,
291,Infinity,Jaymes Young,2023-01-20,0.494,1SOClUWhOi8vHZYMz3GluK,
292,Квіти мінних зон,Okean Elzy,2023-01-20,0.427,6RSoNbRPI3DY0NICU0xL8L,
293,Силуети,"SadSvit, СТРУКТУРА ЩАСТЯ",2023-01-20,0.387,61BaxM1NIcadLu3gtWm2uT,
