id,song,artist,week,valence,track_id,lyrics
881,Там у тополі,"Artem Pivovarov, NK",2023-03-10,0.655,4TP5hCUeQ6QwYzPkTfxG6G,
882,Чути гімн,SKOFKA,2023-03-10,0.422,4Yzlz45QgjUKZmN2KrK4AP,
883,Додому,Wellboy,2023-03-10,0.219,6gtK39SLszESqJFu2SkId3,
884,Flowers,Miley Cyrus,2023-03-10,0.632,7DSAEUvxU8FajXtRloy8M0,
885,Пробач,YAKTAK,2023-03-10,0.134,5pN1b9d11LxVNg24kIvyiE,
886,вотсап,DOROFEEVA,2023-03-10,0.142,7iGdK8FeeKfWiLR3Ax6phw,
887,Біля серця,KOLA,2023-03-10,0.598,20SSuP71R4A88qHQu4BKY6,
888,High Come Down,Chico & Coolwadda,2023-03-10,0.667,4gc19xZ8SvONdW6ZVHlYSO,
889,Рандеву,Artem Pivovarov,2023-03-10,0.684,3R02XSW0lDknR5ZVFiTVrc,
890,"Ти щаслива будеш - Гай, зелений гай",Dima PROKOPOV,2023-03-10,0.492,2TTuBKeQWoukafWDPufIlq,
891,Батьківщина,"SKOFKA, KALUSH",2023-03-10,0.502,33s2G0h9EOdyaKlKr15ngE,
892,Щоб не було,DOROFEEVA,2023-03-10,0.381,7krNeHssTmY3ijTox4OBbD,
893,Вечорниці - Добрий день Everybody,"100лиця, SKYLERR",2023-03-10,0.336,64Qnw6jO2dnkjV9una5peq,
894,Маніфест,Artem Pivovarov,2023-03-10,0.422,0pWMr82unREASQGFJrrI5S,
895,Кукла колдуна,Korol i Shut,2023-03-10,0.635,2DYzsMQpO7xOw7b3JwyIWP,
896,Гарно так,CHEEV,2023-03-10,0.798,3yRDM5tBS7H8HG64y3x9kw,
897,Вишнi,Wellboy,2023-03-10,0.635,1xHs6PLjlvqihewyitoP3A,
898,Hypnotized,"Purple Disco Machine, Sophie and the Giants",2023-03-10,0.707,7HxWZggiHyGWT9ZSmWzcxu,
899,Shot a friend,Holy Molly,2023-03-10,0.463,27yUNsQo2CPPokNw69M23X,
900,Парова Машина,"TeeKai, Ярина Квасній",2023-03-10,0.381,0YhWCf8ZpfW03yzRuF3nsO,
901,Два вікна,The Hardkiss,2023-03-10,0.219,3gwHKlGINfCgBwBeEJ101L,
902,Voin,"YARMAK, TARABAROVA",2023-03-10,0.358,6mxPj26zVw51cqeRxxNOed,
903,Зай - Shnaps Remix,"Анна Трінчер, Shnaps",2023-03-10,0.678,04M7w39gAe2CUkf9AXJKCZ,
904,Незламна,ЛЮСЯ КАВА,2023-03-10,0.276,3uFBrdXhDkmuN6xxUgS9rs,
905,Heavy Metal Love,twocolors,2023-03-10,0.457,07VcTAooOBP8hIluuUS5xr,
